schar_item,footprint_type,footprint
catfish,mg_abx_other_aquaculture,0.1581067472306143
catfish,mg_abx_tetracyclines,25.455186304128908
catfish,mg_abx_sulfonamides,9.170191339375629
catfish,mg_abx_streptogramins,0.0
catfish,mg_abx_quinoxalines,0.0
catfish,mg_abx_polypeptides,2.371601208459215
catfish,mg_abx_pleuromutilins,6.324269889224572
catfish,mg_abx_penicillins,3.4783484390735153
catfish,mg_abx_quinolones,0.3162134944612286
catfish,mg_abx_orthosomycins,0.0
catfish,mg_abx_nitrofurans,0.0
catfish,mg_abx_macrolides,11.69989929506546
catfish,mg_abx_lincosamides,0.9486404833836858
catfish,mg_abx_glycophospholipids,0.0
catfish,mg_abx_glycopeptides,0.0
catfish,mg_abx_fluoroquinolones,26.245720040281977
catfish,mg_abx_cephalosporins,0.1581067472306143
catfish,mg_abx_arsenicals,0.0
catfish,mg_abx_amphenicols,54.704934541792554
catfish,mg_abx_aminoglycosides,15.968781470292043
trout,mg_abx_other_aquaculture,0.10372608257804633
trout,mg_abx_tetracyclines,16.69989929506546
trout,mg_abx_sulfonamides,6.016112789526687
trout,mg_abx_streptogramins,0.0
trout,mg_abx_quinoxalines,0.0
trout,mg_abx_polypeptides,1.555891238670695
trout,mg_abx_pleuromutilins,4.149043303121853
trout,mg_abx_penicillins,2.2819738167170196
trout,mg_abx_quinolones,0.20745216515609266
trout,mg_abx_orthosomycins,0.0
trout,mg_abx_nitrofurans,0.0
trout,mg_abx_macrolides,7.6757301107754285
trout,mg_abx_lincosamides,0.622356495468278
trout,mg_abx_glycophospholipids,0.0
trout,mg_abx_glycopeptides,0.0
trout,mg_abx_fluoroquinolones,17.218529707955692
trout,mg_abx_cephalosporins,0.10372608257804633
trout,mg_abx_arsenicals,0.0
trout,mg_abx_amphenicols,35.88922457200403
trout,mg_abx_aminoglycosides,10.476334340382678
tilapia,mg_abx_other_aquaculture,0.059415911379657606
tilapia,mg_abx_tetracyclines,9.565961732124876
tilapia,mg_abx_sulfonamides,3.4461228600201412
tilapia,mg_abx_streptogramins,0.0
tilapia,mg_abx_quinoxalines,0.0
tilapia,mg_abx_polypeptides,0.8912386706948641
tilapia,mg_abx_pleuromutilins,2.376636455186304
tilapia,mg_abx_penicillins,1.3071500503524676
tilapia,mg_abx_quinolones,0.11883182275931521
tilapia,mg_abx_orthosomycins,0.0
tilapia,mg_abx_nitrofurans,0.0
tilapia,mg_abx_macrolides,4.396777442094663
tilapia,mg_abx_lincosamides,0.3564954682779456
tilapia,mg_abx_glycophospholipids,0.0
tilapia,mg_abx_glycopeptides,0.0
tilapia,mg_abx_fluoroquinolones,9.863041289023164
tilapia,mg_abx_cephalosporins,0.059415911379657606
tilapia,mg_abx_arsenicals,0.0
tilapia,mg_abx_amphenicols,20.557905337361532
tilapia,mg_abx_aminoglycosides,6.001007049345417
shrimp,mg_abx_other_aquaculture,0.04632426988922457
shrimp,mg_abx_tetracyclines,7.458207452165158
shrimp,mg_abx_sulfonamides,2.686807653575025
shrimp,mg_abx_streptogramins,0.0
shrimp,mg_abx_quinoxalines,0.0
shrimp,mg_abx_polypeptides,0.6948640483383686
shrimp,mg_abx_pleuromutilins,1.852970795568983
shrimp,mg_abx_penicillins,1.019133937562941
shrimp,mg_abx_quinolones,0.09264853977844914
shrimp,mg_abx_orthosomycins,0.0
shrimp,mg_abx_nitrofurans,0.0
shrimp,mg_abx_macrolides,3.427995971802619
shrimp,mg_abx_lincosamides,0.27794561933534745
shrimp,mg_abx_glycophospholipids,0.0
shrimp,mg_abx_glycopeptides,0.0
shrimp,mg_abx_fluoroquinolones,7.689828801611281
shrimp,mg_abx_cephalosporins,0.04632426988922457
shrimp,mg_abx_arsenicals,0.0
shrimp,mg_abx_amphenicols,16.028197381671703
shrimp,mg_abx_aminoglycosides,4.6787512588116815
salmon,mg_abx_other_aquaculture,0.027190332326283987
salmon,mg_abx_tetracyclines,4.377643504531723
salmon,mg_abx_sulfonamides,1.5770392749244713
salmon,mg_abx_streptogramins,0.0
salmon,mg_abx_quinoxalines,0.0
salmon,mg_abx_polypeptides,0.40785498489425986
salmon,mg_abx_pleuromutilins,1.0876132930513596
salmon,mg_abx_penicillins,0.5981873111782479
salmon,mg_abx_quinolones,0.054380664652567974
salmon,mg_abx_orthosomycins,0.0
salmon,mg_abx_nitrofurans,0.0
salmon,mg_abx_macrolides,2.0120845921450154
salmon,mg_abx_lincosamides,0.16314199395770393
salmon,mg_abx_glycophospholipids,0.0
salmon,mg_abx_glycopeptides,0.0
salmon,mg_abx_fluoroquinolones,4.513595166163143
salmon,mg_abx_cephalosporins,0.027190332326283987
salmon,mg_abx_arsenicals,0.0
salmon,mg_abx_amphenicols,9.40785498489426
salmon,mg_abx_aminoglycosides,2.7462235649546827
pooled,mg_abx_other_aquaculture,0.2094662638469285
pooled,mg_abx_tetracyclines,33.724068479355495
pooled,mg_abx_sulfonamides,12.149043303121854
pooled,mg_abx_streptogramins,0.0
pooled,mg_abx_quinoxalines,0.0
pooled,mg_abx_polypeptides,3.1419939577039275
pooled,mg_abx_pleuromutilins,8.37865055387714
pooled,mg_abx_penicillins,4.608257804632428
pooled,mg_abx_quinolones,0.418932527693857
pooled,mg_abx_orthosomycins,0.0
pooled,mg_abx_nitrofurans,0.0
pooled,mg_abx_macrolides,15.50050352467271
pooled,mg_abx_lincosamides,1.256797583081571
pooled,mg_abx_glycophospholipids,0.0
pooled,mg_abx_glycopeptides,0.0
pooled,mg_abx_fluoroquinolones,34.77139979859014
pooled,mg_abx_cephalosporins,0.2094662638469285
pooled,mg_abx_arsenicals,0.0
pooled,mg_abx_amphenicols,72.47532729103726
pooled,mg_abx_aminoglycosides,21.156092648539776
